Recall,Precision
3.251281976699829102e-01,9.937304258346557617e-01
3.271794915199279785e-01,9.937694668769836426e-01
3.292307555675506592e-01,9.938080310821533203e-01
3.312820494174957275e-01,9.938461780548095703e-01
3.333333432674407959e-01,9.938837885856628418e-01
3.353846073150634766e-01,9.939209818840026855e-01
3.374359011650085449e-01,9.939576983451843262e-01
3.384615480899810791e-01,9.939758777618408203e-01
3.405128121376037598e-01,9.940119981765747070e-01
3.425641059875488281e-01,9.940476417541503906e-01
3.446153700351715088e-01,9.940828680992126465e-01
3.466666638851165771e-01,9.941176176071166992e-01
3.487179577350616455e-01,9.941520690917968750e-01
3.507692217826843262e-01,9.941860437393188477e-01
3.528205156326293945e-01,9.942196607589721680e-01
3.548718094825744629e-01,9.942528605461120605e-01
3.569230735301971436e-01,9.942857027053833008e-01
3.589743673801422119e-01,9.943181872367858887e-01
3.610256314277648926e-01,9.943502545356750488e-01
3.630769252777099609e-01,9.943820238113403320e-01
3.651282191276550293e-01,9.944134354591369629e-01
3.671794831752777100e-01,9.944444298744201660e-01
3.692307770252227783e-01,9.944751262664794922e-01
3.712820410728454590e-01,9.945054650306701660e-01
3.733333349227905273e-01,9.945355057716369629e-01
3.753846287727355957e-01,9.945651888847351074e-01
3.764102458953857422e-01,9.945799708366394043e-01
3.784615397453308105e-01,9.946091771125793457e-01
3.794871866703033447e-01,9.919571280479431152e-01
3.815384507179260254e-01,9.919999837875366211e-01
3.835897445678710938e-01,9.920424222946166992e-01
3.856410384178161621e-01,9.920844435691833496e-01
3.866666555404663086e-01,9.895012974739074707e-01
3.887179493904113770e-01,9.895561337471008301e-01
3.907692432403564453e-01,9.896103739738464355e-01
3.928205072879791260e-01,9.896640777587890625e-01
3.948718011379241943e-01,9.897172451019287109e-01
3.969230651855468750e-01,9.897698163986206055e-01
4.000000059604644775e-01,9.898477196693420410e-01
4.020512700080871582e-01,9.898989796638488770e-01
4.041025638580322266e-01,9.899497628211975098e-01
4.061538577079772949e-01,9.900000095367431641e-01
4.082051217555999756e-01,9.900497794151306152e-01
4.102564156055450439e-01,9.900990128517150879e-01
4.123076796531677246e-01,9.901477694511413574e-01
4.133333265781402588e-01,9.901719689369201660e-01
4.153846204280853271e-01,9.902200698852539062e-01
4.174358844757080078e-01,9.902676343917846680e-01
4.194871783256530762e-01,9.903147816658020020e-01
4.215384721755981445e-01,9.903614521026611328e-01
4.235897362232208252e-01,9.904076457023620605e-01
4.256410300731658936e-01,9.904534816741943359e-01
4.276922941207885742e-01,9.904988408088684082e-01
4.297435879707336426e-01,9.905437231063842773e-01
4.317948818206787109e-01,9.905882477760314941e-01
4.338461458683013916e-01,9.906322956085205078e-01
4.358974397182464600e-01,9.906759858131408691e-01
4.379487037658691406e-01,9.907192587852478027e-01
4.399999976158142090e-01,9.907621145248413086e-01
4.420512914657592773e-01,9.908046126365661621e-01
4.441025555133819580e-01,9.908466935157775879e-01
4.461538493633270264e-01,9.908883571624755859e-01
4.482051134109497070e-01,9.909297227859497070e-01
4.502564072608947754e-01,9.909706711769104004e-01
4.512820541858673096e-01,9.909909963607788086e-01
4.533333480358123779e-01,9.910314083099365234e-01
4.553846120834350586e-01,9.910714030265808105e-01
4.574359059333801270e-01,9.911110997200012207e-01
4.594871699810028076e-01,9.911504387855529785e-01
4.615384638309478760e-01,9.911894202232360840e-01
4.625641107559204102e-01,9.890350699424743652e-01
4.646153748035430908e-01,9.890829920768737793e-01
4.666666686534881592e-01,9.891304373741149902e-01
4.697435796260833740e-01,9.892008900642395020e-01
4.717948734760284424e-01,9.892473220825195312e-01
4.738461673259735107e-01,9.892933368682861328e-01
4.758974313735961914e-01,9.893389940261840820e-01
4.779487252235412598e-01,9.893842935562133789e-01
4.799999892711639404e-01,9.894291758537292480e-01
4.820512831211090088e-01,9.894737005233764648e-01
4.841025769710540771e-01,9.895178079605102539e-01
4.861538410186767578e-01,9.895615577697753906e-01
4.882051348686218262e-01,9.896050095558166504e-01
4.892307817935943604e-01,9.896265268325805664e-01
